S0110647,야식,1153010200,서울특별시,구로구,구로동,\N,1153055000,구로4동,115304148017,가마산로26길
S0110650,치킨,4723010200,경상북도,영천시,망정동,\N,4723051000,동부동,472304730196,망정3길
S0110651,치킨,4723010200,경상북도,영천시,망정동,\N,4723051000,동부동,472304730196,망정3길
S0110652,피자,4125010300,경기도,동두천시,생연동,\N,4125052000,생연2동,412503012028,삼육사로
S0110654,카페/디저트,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724128,금오시장로1길
S0110657,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503181028,신곡로
S0110659,한식,4122025329,경기도,평택시,안중읍,송담리,4122025300,안중읍,412204853667,송담6길
S0110660,한식,4122025329,경기도,평택시,안중읍,송담리,4122025300,안중읍,412204853667,송담6길
S0110661,한식,4122025329,경기도,평택시,안중읍,송담리,4122025300,안중읍,412204853667,송담6길
S0110662,찜탕,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343251,신흥로222번길
S0110663,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0110664,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0110665,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0110666,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0110668,돈까스/일식,4315010100,충청북도,제천시,의림동,\N,4315052800,중앙동,431502239002,의림대로
S0110670,피자,4117110100,경기도,안양시 만안구,안양동,\N,4117157000,안양7동,411714349278,태평로60번길
S0110675,한식,4121010100,경기도,광명시,광명동,\N,4121055000,광명4동,412104361265,오리로985번길
S0110678,중식,4122025924,경기도,평택시,청북읍,옥길리,4122025900,청북읍,412204364457,안청로1길
S0110679,돈까스/일식,1154510100,서울특별시,금천구,가산동,\N,1154551000,가산동,115453117001,가산디지털1로
S0110680,한식,1156013200,서울특별시,영등포구,신길동,\N,1156065000,신길3동,115603000023,가마산로
S0110681,야식,4125010300,경기도,동두천시,생연동,\N,4125053500,중앙동,412504367136,중앙로273번길
S0110685,배달전문업체,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343368,태평로146번길
S0110689,족발/보쌈,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0110690,카페/디저트,4421010200,충청남도,서산시,동문동,\N,4421052500,동문1동,442103254157,탑동1로
S0110691,카페/디저트,4421010200,충청남도,서산시,동문동,\N,4421052500,동문1동,442103254157,탑동1로
S0110692,돈까스/일식,4413125033,충청남도,천안시 동남구,목천읍,신계리,4413125000,목천읍,441314547425,신계1길
S0110693,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
S0110694,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
S0110695,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
