S0113441,치킨,4141010400,경기도,군포시,산본동,\N,4141054000,산본1동,414104400072,군포로745번길
S0113442,치킨,4141010400,경기도,군포시,산본동,\N,4141054000,산본1동,414104400072,군포로745번길
S0113444,분식,4139012600,경기도,시흥시,목감동,\N,4139057000,목감동,413903199020,목감우회로
S0113446,돈까스/일식,1154510100,서울특별시,금천구,가산동,\N,1154551000,가산동,115453117003,가산로
S0113448,족발/보쌈,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0113450,패스트푸드,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503215066,평화로
S0113452,한식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724066,구미중앙로17길
S0113453,심부름,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724069,구미중앙로21길
S0113454,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181039,장곡로
S0113455,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181039,장곡로
S0113461,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0113463,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0113464,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0113465,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113466,회,4115011300,경기도,의정부시,산곡동,\N,4115057300,송산1동,\N,\N
S0113468,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343277,오목로18번길
S0113469,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343277,오목로18번길
S0113476,한식,4785025021,경상북도,칠곡군,왜관읍,왜관리,4785025000,왜관읍,478504766489,전원1길
S0113478,한식,4785025021,경상북도,칠곡군,왜관읍,왜관리,4785025000,왜관읍,478504766489,전원1길
S0113479,중식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181050,충의로
S0113483,카페/디저트,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471902308004,송정대로
S0113484,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0113485,돈까스/일식,4723010300,경상북도,영천시,야사동,\N,4723051000,동부동,472303307052,충효로
S0113486,분식,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724576,신시로10길
S0113493,돈까스/일식,1162010100,서울특별시,관악구,봉천동,\N,1162059500,청룡동,116204160719,청룡2길
S0113494,치킨,4719010900,경상북도,구미시,형곡동,\N,4719058300,형곡2동,471903308068,형곡로
S0113501,분식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343136,백석로52번길
S0113502,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0113503,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0113504,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0113505,치킨,4715010400,경상북도,김천시,성내동,\N,4715051600,자산동,471504718849,충효길
S0113506,치킨,4715010400,경상북도,김천시,성내동,\N,4715051600,자산동,471504718849,충효길
S0113507,치킨,4119011500,경기도,부천시,옥길동,\N,4119079500,범안동,411904853797,양지로184번길
S0113508,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113515,한식,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724530,송정대로6길
S0113522,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0113523,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0113524,야식,4719010900,경상북도,구미시,형곡동,\N,4719058300,형곡2동,471903308069,형곡서로
S0113525,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343252,신흥로231번길
S0113526,카페/디저트,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471903304010,문화로
S0113528,분식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471903304010,문화로
S0113531,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0113532,한식,4122025329,경기도,평택시,안중읍,송담리,4122025300,안중읍,412203350992,송담1로
S0113533,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343140,범골로107번길
S0113534,찜탕,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343342,청사로47번길
S0113538,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343254,신흥로239번길
S0113540,한식,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724576,신시로10길
S0113541,돈까스/일식,1154510300,서울특별시,금천구,시흥동,\N,1154570000,시흥4동,115453117004,독산로
S0113546,카페/디저트,4215011000,강원도,강릉시,교동,\N,4215055000,교1동,421504460992,하슬라로232번길
S0113547,한식,4150010100,경기도,이천시,창전동,\N,4150051000,창전동,415003207041,영창로
S0113550,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
S0113552,중식,4723010300,경상북도,영천시,야사동,\N,4723051000,동부동,472304730301,상록2길
S0113557,돈까스/일식,4719011100,경상북도,구미시,신평동,\N,4719059000,신평1동,471903308041,신비로
S0113563,카페/디저트,4117110300,경기도,안양시 만안구,박달동,\N,4117162100,박달1동,411714346264,양화로97번길
S0113564,한식,4719010900,경상북도,구미시,형곡동,\N,4719058200,형곡1동,471903308070,형곡중앙로
S0113565,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113566,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113567,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113568,야식,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724578,신시로14길
S0113569,한식,4719010900,경상북도,구미시,형곡동,\N,4719058300,형곡2동,471904724934,형곡로33길
S0113573,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343275,오목로14번길
S0113575,분식,4719010100,경상북도,구미시,원평동,\N,4719056500,선주원남동,471903308006,구미중앙로
S0113576,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113577,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0113579,한식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471903304010,문화로
S0113581,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0113586,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343282,용민로122번길
S0113589,분식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724066,구미중앙로17길
S0113590,돈까스/일식,4421010900,충청남도,서산시,예천동,\N,4421055000,석남동,442103254208,호수공원9로
S0113591,돈까스/일식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718874,평화7길
S0113592,돈까스/일식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718874,평화7길
S0113594,치킨,4127110300,경기도,안산시 상록구,사동,\N,4127153700,해양동,412713190077,해양1로
S0113596,치킨,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724576,신시로10길
S0113597,중식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724067,구미중앙로19길
S0113598,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0113599,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0113600,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0113601,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0113602,야식,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685313,강변1길
S0113603,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343293,용현로150번길
S0113604,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0113605,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0113606,돈까스/일식,4117110100,경기도,안양시 만안구,안양동,\N,4117157000,안양7동,411713182024,전파로
S0113610,심부름,4127310700,경기도,안산시 단원구,초지동,\N,4127357000,초지동,412733191064,원포공원1로
S0113614,돈까스/일식,4790036040,경상북도,예천군,호명면,금능리,4790036000,호명면,479004853983,행복4길
S0113616,족발/보쌈,1162010200,서울특별시,관악구,신림동,\N,1162064500,서원동,116202000003,남부순환로
S0113617,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343463,호국로1331번길
S0113624,야식,4719010900,경상북도,구미시,형곡동,\N,4719058200,형곡1동,471904724590,신시로7길
S0113625,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0113626,카페/디저트,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471903304010,문화로
S0113631,카페/디저트,4421010900,충청남도,서산시,예천동,\N,4421055000,석남동,\N,\N
S0113636,족발/보쌈,4421010200,충청남도,서산시,동문동,\N,4421053500,동문2동,442103254124,율지18로
S0113639,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113640,찜탕,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745472,중리길
S0113641,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113642,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113643,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113644,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0113645,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113646,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0113647,치킨,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745172,문소1길
S0113648,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0113649,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113650,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0113651,분식,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745053,군청길
S0113652,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0113653,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113654,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113655,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113656,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745140,동서1길
S0113657,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113659,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113660,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113661,심부름,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,477304745475,중앙길
S0113662,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113663,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0113665,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113666,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113667,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113668,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113670,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113671,치킨,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745053,군청길
S0113672,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,\N,\N
S0113673,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745140,동서1길
S0113674,카페/디저트,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745053,군청길
S0113675,치킨,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,477304745454,전통시장2길
S0113676,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0113677,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0113678,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343344,청사로5번길
